Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Argentina,Region of the Americas of WHO,Temperate South America,1995,1,02/01/1995,08/01/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,2,09/01/1995,15/01/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,3,16/01/1995,22/01/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,4,23/01/1995,29/01/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,5,30/01/1995,05/02/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,6,06/02/1995,12/02/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,7,13/02/1995,19/02/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,8,20/02/1995,26/02/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,9,27/02/1995,05/03/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,10,06/03/1995,12/03/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,11,13/03/1995,19/03/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,12,20/03/1995,26/03/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,13,27/03/1995,02/04/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,14,03/04/1995,09/04/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,15,10/04/1995,16/04/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,16,17/04/1995,23/04/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,17,24/04/1995,30/04/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,18,01/05/1995,07/05/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,19,08/05/1995,14/05/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,20,15/05/1995,21/05/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,21,22/05/1995,28/05/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,22,29/05/1995,04/06/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,23,05/06/1995,11/06/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,24,12/06/1995,18/06/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,25,19/06/1995,25/06/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,26,26/06/1995,02/07/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,27,03/07/1995,09/07/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,28,10/07/1995,16/07/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,29,17/07/1995,23/07/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,30,24/07/1995,30/07/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,31,31/07/1995,06/08/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,32,07/08/1995,13/08/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,33,14/08/1995,20/08/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,34,21/08/1995,27/08/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,35,28/08/1995,03/09/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,36,04/09/1995,10/09/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,37,11/09/1995,17/09/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,38,18/09/1995,24/09/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,39,25/09/1995,01/10/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,40,02/10/1995,08/10/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,41,09/10/1995,15/10/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,42,16/10/1995,22/10/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,43,23/10/1995,29/10/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,44,30/10/1995,05/11/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,45,06/11/1995,12/11/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,46,13/11/1995,19/11/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,47,20/11/1995,26/11/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,48,27/11/1995,03/12/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,49,04/12/1995,10/12/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,50,11/12/1995,17/12/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,51,18/12/1995,24/12/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1995,52,25/12/1995,31/12/1995,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,1,01/01/1996,07/01/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,2,08/01/1996,14/01/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,3,15/01/1996,21/01/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,4,22/01/1996,28/01/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,5,29/01/1996,04/02/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,6,05/02/1996,11/02/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,7,12/02/1996,18/02/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,8,19/02/1996,25/02/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,9,26/02/1996,03/03/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,10,04/03/1996,10/03/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,11,11/03/1996,17/03/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,12,18/03/1996,24/03/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,13,25/03/1996,31/03/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,14,01/04/1996,07/04/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,15,08/04/1996,14/04/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,16,15/04/1996,21/04/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,17,22/04/1996,28/04/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,18,29/04/1996,05/05/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,19,06/05/1996,12/05/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,20,13/05/1996,19/05/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,21,20/05/1996,26/05/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,22,27/05/1996,02/06/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,23,03/06/1996,09/06/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,24,10/06/1996,16/06/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,25,17/06/1996,23/06/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,26,24/06/1996,30/06/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,27,01/07/1996,07/07/1996,,,,,,,,,,,,,,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1996,28,08/07/1996,14/07/1996,,,,,,,,,,,,,,,No Report
