Naziv ustanove,Univerzitet,Nivo,Zvanje,Dužina trajanja programa (u god),Polje_skraceno,Vlasnistvo,Akreditaciona kvota,Broj studenata,Broj prijavljenih kandidata,Broj svršenih studenata tokom prethodne školske godine,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata na zavrsnoj godini
"Agronomski fakultet, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer poljoprivrede,4,TT,Državni fakultet,60.0,174.0,36.0,15.0,50.0,29.0,36.0,28.0,31.0,0.0,132.0,42.0,0.0,28.0
"Agronomski fakultet, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani inženjer tehnologije,4,TT,Državni fakultet,40.0,69.0,20.0,3.0,22.0,19.0,14.0,10.0,4.0,0.0,39.0,30.0,0.0,10.0
"Agronomski fakultet, Čačak",Univerzitet u Kragujevcu,Osnovne akademske,Inženjer poljoprivrede,3,TT,Državni fakultet,20.0,23.0,5.0,3.0,6.0,7.0,5.0,5.0,0.0,0.0,20.0,3.0,0.0,5.0
Akademija umetnosti,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani dizajner,4,UM,Državni fakultet,22.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akademija umetnosti,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani dizajner medija u obrazovanju,4,IMT,Državni fakultet,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akademija umetnosti,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani dramski i audiovizuelni umetnik,4,UM,Državni fakultet,81.0,87.0,203.0,37.0,21.0,31.0,21.0,14.0,0.0,0.0,68.0,16.0,3.0,14.0
Akademija umetnosti,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani kompozitor,4,UM,Državni fakultet,4.0,8.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0
Akademija umetnosti,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani likovni umetnik,4,UM,Državni fakultet,43.0,0.0,48.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akademija umetnosti,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani muzički umetnik,4,UM,Državni fakultet,47.0,0.0,75.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akademija umetnosti,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani teoretičar umetnosti,4,DH,Državni fakultet,32.0,94.0,16.0,24.0,25.0,19.0,24.0,26.0,0.0,0.0,88.0,6.0,0.0,26.0
Arhitektonski fakultet,Univerzitet u Beogradu,Integr. akademske,Master inženjer arhitekture,5,IMT,Državni fakultet,64.0,284.0,65.0,0.0,74.0,54.0,66.0,45.0,45.0,0.0,222.0,61.0,1.0,45.0
Arhitektonski fakultet,Univerzitet u Beogradu,Osnovne akademske,Inženjer arhitekture,3,TT,Državni fakultet,240.0,805.0,344.0,209.0,273.0,220.0,312.0,0.0,0.0,0.0,583.0,219.0,3.0,312.0
Biološki fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani biolog,4,PM,Državni fakultet,230.0,1316.0,316.0,116.0,239.0,217.0,213.0,210.0,437.0,0.0,640.0,676.0,0.0,210.0
Geografski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani geograf,4,PM,Državni fakultet,130.0,287.0,180.0,64.0,64.0,42.0,36.0,145.0,0.0,0.0,130.0,157.0,0.0,145.0
Geografski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani demograf,4,IMT,Državni fakultet,50.0,219.0,54.0,16.0,52.0,45.0,42.0,80.0,0.0,0.0,111.0,108.0,0.0,80.0
Geografski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani prostorni planer,4,IMT,Državni fakultet,50.0,295.0,109.0,41.0,63.0,49.0,46.0,137.0,0.0,0.0,122.0,173.0,0.0,137.0
Geografski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani turizmolog,4,IMT,Državni fakultet,80.0,439.0,148.0,33.0,86.0,87.0,74.0,192.0,0.0,0.0,189.0,249.0,1.0,192.0
Građevinski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani inženjer građevinarstva,4,TT,Državni fakultet,340.0,1879.0,342.0,191.0,357.0,366.0,362.0,794.0,0.0,0.0,577.0,1302.0,0.0,794.0
Građevinski fakultet,Univerzitet u Beogradu,Osnovne akademske,Inženjer geodezije,3,TT,Državni fakultet,60.0,186.0,70.0,41.0,66.0,48.0,72.0,0.0,0.0,0.0,94.0,92.0,0.0,72.0
"Građevinski fakultet, Subotica",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer geodezije,4,TT,Državni fakultet,30.0,49.0,22.0,0.0,22.0,5.0,3.0,19.0,0.0,0.0,42.0,7.0,0.0,19.0
"Građevinski fakultet, Subotica",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer građevinarstva,4,TT,Državni fakultet,248.0,400.0,69.0,66.0,73.0,46.0,49.0,232.0,0.0,0.0,239.0,161.0,0.0,232.0
