Ime junaka,Pozicija junaka
Oblonskys,20
French,36
Oblonskys,142
English,170
Stepan,220
Arkadyevitch,221
Oblonsky,222
Stiva,223
Stepan,397
Arkadyevitch,398
Dolly,726
Stepan,777
Arkadyevitch,778
Stepan,885
Arkadyevitch,886
Dolly,916
Stepan,963
Arkadyevitch,964
Stepan,986
Arkadyevitch,987
Stepan,1209
Arkadyevitch,1210
Stepan,1432
Arkadyevitch,1433
Matvey,1514
Matvey,1523
Stepan,1543
Arkadyevitch,1544
Matvey,1559
Stepan,1585
Arkadyevitch,1586
Matvey,1594
Stepan,1619
Arkadyevitch,1620
Matvey,1634
Stepan,1685
Arkadyevitch,1686
Matvey,1688
Matvey,1722
Anna,1725
Arkadyevna,1726
Matvey,1756
Anna,1775
Arkadyevna,1776
Matvey,1799
Stepan,1800
Arkadyevitch,1801
Matvey,1820
Darya,1836
Alexandrovna,1837
Darya,1841
Alexandrovna,1842
Matvey,1843
Matvey,1873
Stepan,1881
Arkadyevitch,1882
Matvey,1894
Darya,1916
Alexandrovna,1917
Stepan,1961
Arkadyevitch,1962
Matvey,1982
Matvey,1998
Stepan,2011
Arkadyevitch,2012
Matrona,2040
Philimonovna,2041
Matrona,2054
Stepan,2056
Arkadyevitch,2057
Stepan,2066
Arkadyevitch,2067
Darya,2091
Alexandrovna,2092
Stepan,2189
Arkadyevitch,2190
Matvey,2201
Matvey,2209
Stepan,2245
Arkadyevitch,2246
Stepan,2430
Arkadyevitch,2431
Stepan,2479
Arkadyevitch,2480
Stepan,2564
Arkadyevitch,2565
Russia,2691
Stepan,2697
Arkadyevitch,2698
Stepan,2731
Arkadyevitch,2732
Stepan,2777
Arkadyevitch,2778
Stepan,2828
Arkadyevitch,2829
Stepan,2876
Arkadyevitch,2877
Matrona,3035
Philimonovna,3036
Stepan,3169
Arkadyevitch,3170
Grisha,3175
Tanya,3180
English,3211
Stepan,3221
Arkadyevitch,3222
Stepan,3392
Arkadyevitch,3393
Tanya,3501
Grisha,3550
Matvey,3587
Stepan,3602
Arkadyevitch,3603
Matvey,3631
Oblonsky,3653
Stepan,3674
Arkadyevitch,3675
Stepan,3743
Arkadyevitch,3744
Darya,3928
Alexandrovna,3929
Dolly,4315
Dolly,4424
Anna,4433
Dolly,4454
Stepan,4477
Arkadyevitch,4478
Matvey,4497
Dolly,4560
Dolly,4590
Dolly,4723
Dolly,4778
Stiva,4815
Stiva,4858
Darya,5124
Alexandrovna,5125
Dolly,5191
Stepan,5241
Arkadyevitch,5242
Matvey,5257
Stepan,5308
Arkadyevitch,5309
German,5336
Stepan,5343
Arkadyevitch,5344
German,5355
Stepan,5371
Arkadyevitch,5372
Matvey,5397
Darya,5403
Anna,5409
Arkadyevna,5410
Matvey,5414
Stepan,5421
Arkadyevitch,5422
Matvey,5441
Matvey,5478
Darya,5489
Alexandrovna,5490
English,5547
Matrona,5550
Philimonovna,5551
Matrona,5751
Philimonovna,5752
Darya,5808
Alexandrovna,5809
Stepan,5826
Arkadyevitch,5827
Moscow,5891
Anna,5900
Alexey,5903
Alexandrovitch,5904
Karenin,5905
Moscow,5921
Karenin,5926
Stiva,5948
Oblonsky,5949
Moscow,5988
Petersburg,5990
Stepan,5996
Arkadyevitch,5997
Oblonsky,6082
Stepan,6188
Arkadyevitch,6189
Stiva,6254
Oblonsky,6255
Moscow,6322
Stepan,6323
Arkadyevitch,6324
Stepan,6353
Arkadyevitch,6354
Stepan,6464
Arkadyevitch,6465
Stepan,6501
Arkadyevitch,6502
Stepan,6543
Arkadyevitch,6544
Stepan,6576
Arkadyevitch,6577
Stepan,6599
Arkadyevitch,6600
Stepan,6625
Arkadyevitch,6626
Tsar,6739
Stepan,6779
Arkadyevitch,6780
Grinevitch,6826
Stepan,6840
Arkadyevitch,6841
Grinevitch,6858
Stepan,6872
Arkadyevitch,6873
Grinevitch,6876
Oblonsky,7015
Stepan,7016
Arkadyevitch,7017
Levin,7054
Levin,7065
Stepan,7083
Arkadyevitch,7084
Levin,7112
Stepan,7132
Arkadyevitch,7133
Stepan,7157
Arkadyevitch,7158
Christian,7176
Oblonsky,7226
Levin,7298
Oblonsky,7305
Levin,7312
Levin,7339
Oblonsky,7347
Levin,7356
Oblonsky,7463
Levin,7475
Moscow,7485
Stepan,7497
Arkadyevitch,7498
Levin,7513
Moscow,7516
Stepan,7548
Arkadyevitch,7549
Levin,7560
Oblonsky,7590
Levin,7606
Stepan,7620
Arkadyevitch,7621
Levin,7628
Levin,7662
Oblonsky,7671
Grinevitch,7683
Oblonsky,7719
Philip,7738
Mihail,7741
Grinevitch,7743
Levin,7747
Konstantin,7772
Dmitrievitch,7773
Levin,7774
Sergey,7778
Ivanovitch,7779
Koznishev,7780
Sergey,7793
Ivanovitch,7794
Grinevitch,7796
Levin,7806
Oblonsky,7816
Russia,7833
Konstantin,7845
Levin,7846
Koznishev,7854
Oblonsky,7882
Oblonsky,7890
Levin,7909
Stepan,8047
Arkadyevitch,8048
Levin,8065
Grinevitch,8070
Stepan,8073
Arkadyevitch,8074
European,8091
French,8104
Levin,8112
Oblonsky,8171
Levin,8193
Oblonsky,8194
Levin,8223
Levin,8292
Shtcherbatskys,8323
Stepan,8333
Arkadyevitch,8334
Levin,8340
Kitty,8349
Oblonsky,8409
Stepan,8425
Arkadyevitch,8426
Levin,8495
Oblonsky,8542
Levin,8559
Levin,8569
Levin,8608
Levin,8626
Oblonsky,8663
Levin,8744
Oblonsky,8751
Levin,8775
