Rec,Duzina_reci
Smatramo,8
da,2
je,2
razumevanje,11
algoritama,10
i,1
umeće,5
algoritamskog,13
izražavanja,11
potrebno,8
svima,5
a,1
takođe,6
je,2
važno,5
da,2
oni,3
koji,4
su,2
talentovani,11
za,2
programiranje,13
svoj,4
talenat,7
prepoznaju,10
i,1
razvijaju,9
Za,2
sticanja,8
algoritamske,12
pismenosti,10
neophodan,9
je,2
neki,4
vid,3
programiranja,13
isto,4
kao,3
što,3
se,2
bez,3
praktikovanja,13
pismenog,8
izražavanja,11
ne,2
može,4
steći,5
klasična,8
pismenost,9
Programiranje,13
ne,2
mora,4
biti,4
komplikovano,12
rezervisano,11
za,2
stručnjake,10
a,1
suvoparno,9
i,1
dosadno,7
ostalima,8
Naša,4
želja,5
je,2
da,2
programiranje,13
približimo,10
svima,5
deci,4
i,1
njihovim,8
roditeljima,11
učenicima,9
i,1
njihovim,8
nastavnicima,12
radoznalim,10
korisnicima,11
tehnologije,11
i,1
svim,4
ljudima,7
koji,4
se,2
pitanju,7
šta,3
je,2
sledeće,7
što,3
treba,5
da,2
nauče,5
Želimo,6
da,2
podignemo,9
nivo,4
svesti,6
u,1
društvu,7
o,1
značaju,7
algoritamske,12
pismenosti,10
te,2
da,2
podstaknemo,11
različite,9
društvene,9
subjekte,8
na,2
aktivnije,9
delovanje,9
u,1
smeru,5
razvijanja,10
i,1
popularizacije,14
algoritamske,12
pismenosti,10
i,1
konkretno,9
programiranja,13
To,2
znači,5
da,2
obrazovnim,10
institucijama,13
pomognemo,9
da,2
više,4
i,1
bolje,5
doprinesu,9
razvoju,7
algoritamske,12
pismenosti,10
da,2
u,1
široj,5
populaciji,10
podižemo,8
svest,5
o,1
značaju,7
algoritamske,12
pismenosti,10
podstičemo,10
i,1
pomažemo,8
svakog,6
ko,2
želi,4
da,2
uči,3
programiranje,13
kao,3
i,1
da,2
okupimo,7
pojedince,9
i,1
kompanije,9
koje,4
svojim,6
resursima,9
i,1
angažovanjem,12
žele,4
da,2
podrže,6
razvoj,6
algoritamske,12
pismenosti,10
u,1
Srbiji,6
O,1
uvođenju,8
programiranja,13
u,1
škole,5
se,2
u,1
našoj,5
javnosti,8
duži,4
niz,3
godina,6
diskutuje,9
i,1
ova,3
tema,4
je,2
iz,2
godine,6
u,1
godinu,6
dobijala,8
sve,3
veći,4
značaj,6
Ljudi,5
koji,4
danas,5
čine,4
Petlju,6
su,2
se,2
upoznali,8
na,2
stručnim,8
skupovima,9
i,1
zajedničkim,11
projektima,10
gde,3
smo,3
se,2
međusobno,9
podržavali,10
jer,3
smo,3
delili,6
iste,4
vrednosti,9
i,1
viziju,6
kako,4
vidimo,6
savremeno,9
informatičko,12
obrazovanje,11
naših,5
đaka,4
Iz,2
tog,3
razloga,7
možemo,6
reči,4
da,2
naše,4
interesovanje,13
bavljenje,9
i,1
popularizacija,14
algoritamskog,13
načina,6
razmišljanja,12
datira,6
i,1
pre,3
formalnog,9
osnivanja,9
fondacije,9
Petlja,6
je,2
svojim,6
osnivanjem,10
pod,3
jednim,6
krovom,6
obuhvatila,10
uspešne,7
i,1
poznate,7
projekte,8
i,1
inicijative,11
a,1
pre,3
svega,5
portal,6
za,2
učenje,6
i,1
vežbanje,8
programiranja,13
BubbleBee,9
i,1
zvaničan,8
sajt,4
za,2
takmičenje,10
učenika,7
srednjih,8
škola,5
iz,2
programiranja,13
u,1
Srbiji,6
Takprog,7
Portal,6
BubbleBee,9
je,2
razvijen,8
od,2
strane,6
ljudi,5
koji,4
su,2
zaposleni,9
ili,3
su,2
bili,4
na,2
praksi,6
u,1
Majkrosoftovom,14
razvojnom,9
centru,6
u,1
Srbiji,6
a,1
u,1
izradi,6
sadržaja,8
su,2
učestvovali,11
i,1
zaposleni,9
i,1
saradnici,9
Matematičke,11
i,1
Računarske,10
gimnazije,9
drugih,6
škola,5
Društva,7
Matematičara,12
Srbije,6
i,1
Istraživačke,12
stanice,7
Petnica,7
Materijali,10
na,2
BubbleBee,9
portalu,7
su,2
od,2
početka,7
koncipirani,11
kao,3
besplatni,9
namenjeni,9
najširoj,8
populaciji,10
i,1
programiranju,13
prilaze,7
na,2
jednostavan,11
i,1
interaktivan,12
način,5
Takprog,7
je,2
razvijen,8
od,2
strane,6
članova,7
Srednjoškolske,14
komisije,8
za,2
takmičenja,10
iz,2
programiranja,13
Društva,7
matematičara,12
Srbije,6
i,1
predstavlja,11
infrastrukturnu,15
podršku,7
održavanju,10
takmičenja,10
iz,2
programiranja,13
u,1
srednjim,8
školama,7
Sada,4
se,2
zajednička,10
infrastrukturna,15
osnova,6
koristi,7
i,1
za,2
osnovnoškolska,14
i,1
za,2
srednjoškolska,14
takmičenja,10
kao,3
i,1
za,2
BubbleCup,9
Možemo,6
reči,4
da,2
je,2
Petlja,6
svojim,6
osnivanjem,10
okupila,7
nekoliko,8
„ostrva,7
u,1
jedno,5
veće,4
i,1
snažnije,8
ali,3
sa,2
istim,5
ciljevima,9
i,1
vizijom,7
o,1
tome,4
gde,3
je,2
mesto,5
programiranju,13
i,1
zašto,5
je,2
razvoj,6
algoritamske,12
pismenosti,10
važan,5
