Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Belarus,European Region of WHO,Eastern Europe,2007,2,08/01/2007,14/01/2007,,0,0,,0,,0,0,,,0,0,0,,Sporadic
Belarus,European Region of WHO,Eastern Europe,2007,7,12/02/2007,18/02/2007,,20,0,,0,,0,0,,,0,0,0,,Local Outbreak
Belarus,European Region of WHO,Eastern Europe,2007,8,19/02/2007,25/02/2007,,10,0,,0,,0,0,,,0,0,0,,Widespread Outbreak
Belarus,European Region of WHO,Eastern Europe,2007,9,26/02/2007,04/03/2007,,30,0,,8,,0,8,,,0,0,8,,Widespread Outbreak
Belarus,European Region of WHO,Eastern Europe,2007,11,12/03/2007,18/03/2007,,32,0,,8,,0,8,,,0,0,8,,Widespread Outbreak
Belarus,European Region of WHO,Eastern Europe,2007,12,19/03/2007,25/03/2007,,30,0,,0,,7,7,,,0,0,7,,No Activity
Belarus,European Region of WHO,Eastern Europe,2007,14,02/04/2007,08/04/2007,,25,0,,7,,0,7,,,7,7,14,,Sporadic
Belarus,European Region of WHO,Eastern Europe,2007,48,26/11/2007,02/12/2007,,6,0,,0,,0,0,,,0,0,0,,Sporadic
Belarus,European Region of WHO,Eastern Europe,2007,49,03/12/2007,09/12/2007,,300,0,,0,,0,0,,,0,0,0,,Sporadic
Belarus,European Region of WHO,Eastern Europe,2007,50,10/12/2007,16/12/2007,,410,0,,0,,0,0,,,0,0,0,,Sporadic
Belgium,European Region of WHO,South West Europe,2007,35,27/08/2007,02/09/2007,,0,0,,0,,0,0,,,0,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,2007,36,03/09/2007,09/09/2007,,0,0,,0,,0,0,,,0,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,2007,37,10/09/2007,16/09/2007,,0,0,,0,,0,0,,,0,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,2007,38,17/09/2007,23/09/2007,,1,0,,1,,0,1,,,0,0,1,,Sporadic
Belgium,European Region of WHO,South West Europe,2007,39,24/09/2007,30/09/2007,,,0,,0,,0,0,,,0,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,2007,40,01/10/2007,07/10/2007,,,0,,0,,0,0,,,0,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,2007,41,08/10/2007,14/10/2007,,0,0,,0,,0,0,,,0,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,2007,42,15/10/2007,21/10/2007,,,0,,0,,0,0,,,0,0,0,,No Activity
