ROUTE_CODE,BUS_DUTY_NO,DIRECTION,SCHEDULE_TIME,SCHEDULE_TYPE
2,1,forward,410,work day
2,1,forward,455,work day
2,1,forward,547,work day
2,1,forward,636,work day
2,1,forward,721,work day
2,1,forward,806,work day
2,1,forward,849,work day
2,1,forward,934,work day
2,1,forward,1019,work day
2,1,forward,1104,work day
2,1,forward,1149,work day
2,1,forward,1234,work day
2,1,forward,1321,work day
2,1,forward,1406,work day
2,1,forward,1451,work day
2,1,forward,1536,work day
2,1,forward,1621,work day
2,1,forward,1706,work day
2,1,forward,1752,work day
2,1,forward,1836,work day
2,1,forward,1921,work day
2,1,forward,2006,work day
2,1,forward,2051,work day
2,1,forward,2131,work day
2,2,backward,410,work day
2,2,backward,455,work day
2,2,backward,547,work day
2,2,backward,636,work day
2,2,backward,721,work day
2,2,backward,806,work day
2,2,backward,849,work day
2,2,backward,934,work day
2,2,backward,1019,work day
2,2,backward,1104,work day
2,2,backward,1149,work day
2,2,backward,1234,work day
2,2,backward,1321,work day
2,2,backward,1406,work day
2,2,backward,1451,work day
2,2,backward,1536,work day
2,2,backward,1621,work day
2,2,backward,1706,work day
2,2,backward,1752,work day
2,2,backward,1836,work day
2,2,backward,1921,work day
2,2,backward,2006,work day
2,2,backward,2051,work day
2,2,backward,2131,work day
2,3,forward,435,work day
2,3,forward,524,work day
2,3,forward,608,work day
2,3,forward,654,work day
2,3,forward,739,work day
2,3,forward,827,work day
2,3,forward,911,work day
2,3,forward,956,work day
2,3,forward,1041,work day
2,3,forward,1126,work day
2,3,forward,1211,work day
2,3,forward,1254,work day
2,3,forward,1339,work day
2,3,forward,1424,work day
2,3,forward,1509,work day
2,3,forward,1554,work day
2,3,forward,1639,work day
2,3,forward,1724,work day
2,4,backward,435,work day
2,4,backward,524,work day
2,4,backward,608,work day
2,4,backward,654,work day
2,4,backward,739,work day
2,4,backward,827,work day
2,4,backward,911,work day
2,4,backward,956,work day
2,4,backward,1041,work day
2,4,backward,1126,work day
2,4,backward,1211,work day
2,4,backward,1254,work day
2,4,backward,1339,work day
2,4,backward,1424,work day
2,4,backward,1509,work day
2,4,backward,1554,work day
2,4,backward,1639,work day
2,4,backward,1724,work day
2,5,forward,627,work day
2,5,forward,712,work day
2,5,forward,757,work day
2,5,forward,838,work day
2,5,forward,923,work day
2,5,forward,1008,work day
2,5,forward,1053,work day
2,5,forward,1138,work day
2,5,forward,1223,work day
2,5,forward,1312,work day
2,5,forward,1357,work day
2,5,forward,1442,work day
2,5,forward,1527,work day
2,5,forward,1612,work day
2,5,forward,1657,work day
2,5,forward,1742,work day
2,5,forward,1825,work day
2,5,forward,1910,work day
2,5,forward,1955,work day
2,5,forward,2040,work day
2,6,backward,627,work day
2,6,backward,712,work day
2,6,backward,757,work day
2,6,backward,838,work day
2,6,backward,923,work day
2,6,backward,1008,work day
2,6,backward,1053,work day
2,6,backward,1138,work day
2,6,backward,1223,work day
2,6,backward,1312,work day
2,6,backward,1357,work day
2,6,backward,1442,work day
2,6,backward,1527,work day
2,6,backward,1612,work day
2,6,backward,1657,work day
2,6,backward,1742,work day
2,6,backward,1825,work day
2,6,backward,1910,work day
2,6,backward,1955,work day
2,6,backward,2040,work day
2,7,forward,510,work day
2,7,forward,558,work day
2,7,forward,645,work day
2,7,forward,730,work day
2,7,forward,816,work day
2,7,forward,900,work day
2,7,forward,945,work day
2,7,forward,1030,work day
2,7,forward,1115,work day
2,7,forward,1200,work day
2,7,forward,1244,work day
2,7,forward,1330,work day
2,7,forward,1415,work day
2,7,forward,1500,work day
2,7,forward,1545,work day
2,7,forward,1630,work day
2,7,forward,1715,work day
2,7,forward,1803,work day
2,7,forward,1847,work day
2,7,forward,1932,work day
2,7,forward,2017,work day
2,7,forward,2102,work day
2,7,forward,2146,work day
2,7,forward,2225,work day
2,7,forward,2310,work day
2,7,forward,2350,work day
2,8,backward,510,work day
2,8,backward,558,work day
2,8,backward,645,work day
2,8,backward,730,work day
2,8,backward,816,work day
2,8,backward,900,work day
2,8,backward,945,work day
2,8,backward,1030,work day
2,8,backward,1115,work day
2,8,backward,1200,work day
2,8,backward,1244,work day
2,8,backward,1330,work day
2,8,backward,1415,work day
2,8,backward,1500,work day
2,8,backward,1545,work day
2,8,backward,1630,work day
2,8,backward,1715,work day
2,8,backward,1803,work day
2,8,backward,1847,work day
2,8,backward,1932,work day
2,8,backward,2017,work day
2,8,backward,2102,work day
2,8,backward,2146,work day
2,8,backward,2225,work day
2,8,backward,2310,work day
2,8,backward,2350,work day
2,9,forward,536,work day
2,9,forward,618,work day
2,9,forward,703,work day
2,9,forward,748,work day
2,9,forward,1303,work day
2,9,forward,1348,work day
2,9,forward,1433,work day
2,9,forward,1518,work day
2,9,forward,1603,work day
2,9,forward,1648,work day
2,9,forward,1733,work day
2,9,forward,1814,work day
2,9,forward,1859,work day
2,9,forward,1944,work day
2,9,forward,2029,work day
2,9,forward,2116,work day
2,9,forward,2204,work day
2,9,forward,2246,work day
2,10,backward,536,work day
2,10,backward,618,work day
2,10,backward,703,work day
2,10,backward,748,work day
2,10,backward,1303,work day
2,10,backward,1348,work day
2,10,backward,1433,work day
2,10,backward,1518,work day
2,10,backward,1603,work day
2,10,backward,1648,work day
2,10,backward,1733,work day
2,10,backward,1814,work day
2,10,backward,1859,work day
2,10,backward,1944,work day
2,10,backward,2029,work day
2,10,backward,2116,work day
2,10,backward,2204,work day
2,10,backward,2246,work day
3,1,backward,400,work day
3,1,forward,455,work day
3,1,backward,549,work day
3,1,forward,646,work day
3,1,backward,742,work day
3,1,forward,835,work day
3,1,backward,930,work day
3,1,forward,1025,work day
3,1,backward,1120,work day
3,1,forward,1215,work day
3,1,backward,1310,work day
3,1,forward,1408,work day
3,1,backward,1504,work day
3,1,forward,1600,work day
3,1,backward,1657,work day
3,1,forward,1752,work day
3,1,backward,1849,work day
3,1,forward,1945,work day
3,1,backward,2041,work day
3,1,forward,2130,work day
3,1,backward,2222,work day
3,1,forward,2315,work day
3,2,backward,600,work day
3,2,forward,655,work day
3,2,backward,751,work day
3,2,forward,845,work day
3,2,backward,940,work day
3,2,forward,1035,work day
3,2,backward,1130,work day
3,2,forward,1225,work day
3,2,backward,1320,work day
3,2,forward,1416,work day
3,2,backward,1512,work day
3,2,forward,1609,work day
3,2,backward,1706,work day
3,2,forward,1801,work day
3,2,backward,1900,work day
3,2,forward,2000,work day
3,2,backward,2055,work day
3,2,forward,2145,work day
