ROUTE_CODE,BUS_STOP_ID,SEQ_NUMBER,DISTANCE_FROM_FIRST_BUS_STOP,DIRECTION
2,7,1,0,forward
2,5,2,751,forward
2,71,3,1488,forward
2,73,4,1738,forward
2,52,5,2115,forward
2,54,6,2599,forward
2,56,7,2883,forward
2,58,8,3251,forward
2,743,9,3664,forward
2,85,10,4018,forward
2,63,11,4427,forward
2,65,12,4981,forward
2,67,13,5685,forward
2,69,14,6662,forward
2,11,15,7156,forward
2,9,16,7468,forward
2,90007,17,7952,forward
2,70,3,1286,backward
2,68,4,2288,backward
2,66,5,3248,backward
2,64,6,3771,backward
2,62,7,4058,backward
2,61,8,4373,backward
2,59,9,4734,backward
2,57,10,5178,backward
2,55,11,5478,backward
2,53,12,5861,backward
2,74,13,6267,backward
2,72,14,6572,backward
2,4,15,7337,backward
2,90006,16,8076,backward
2,6,1,0,backward
2,8,2,424,backward
3,26,15,7907,forward
3,28,16,8330,forward
3,30,17,8884,forward
3,32,18,9197,forward
3,34,19,10448,forward
3,36,20,10918,forward
3,38,21,11331,forward
3,40,22,12001,forward
3,42,23,12464,forward
3,44,24,12917,forward
3,46,25,13634,forward
3,48,26,13914,forward
3,50,27,14491,forward
3,75,1,0,forward
3,77,2,402,forward
3,79,3,749,forward
3,551,4,1251,forward
3,63,5,1543,forward
3,65,6,2097,forward
3,67,7,2801,forward
3,12,8,3779,forward
3,14,9,4159,forward
3,16,10,4947,forward
3,18,11,5483,forward
3,20,12,5895,forward
3,22,13,6454,forward
3,24,14,7463,forward
3,51,1,0,backward
3,49,2,553,backward
3,47,3,859,backward
3,45,4,1447,backward
3,43,5,1959,backward
3,41,6,2594,backward
3,39,7,3332,backward
3,37,8,3689,backward
3,35,9,4171,backward
3,33,10,5448,backward
3,31,11,5719,backward
3,29,12,6233,backward
3,27,13,6628,backward
3,25,14,7027,backward
3,23,15,7942,backward
3,21,16,8480,backward
3,19,17,8915,backward
3,17,18,9460,backward
3,15,19,10220,backward
3,13,20,10731,backward
3,68,21,11795,backward
3,66,22,12755,backward
3,64,23,13278,backward
3,553,24,13492,backward
3,80,25,14123,backward
3,78,26,14406,backward
3,76,27,14681,backward
5,1,22,7591,backward
5,3,21,7422,backward
5,53,18,6500,backward
5,55,17,6117,backward
5,57,16,5817,backward
5,59,15,5373,backward
5,61,14,5012,backward
5,62,13,4697,backward
5,64,12,4410,backward
5,72,20,7211,backward
5,74,19,6906,backward
5,88,10,3781,backward
5,90,9,3418,backward
5,93,8,3072,backward
5,95,7,2636,backward
5,97,6,2301,backward
5,99,5,1691,backward
5,101,4,1164,backward
5,103,3,908,backward
5,105,2,677,backward
5,2,1,0,forward
5,52,4,813,forward
5,54,5,1297,forward
5,56,6,1581,forward
5,58,7,1949,forward
5,63,10,3125,forward
5,71,2,186,forward
5,73,3,436,forward
5,85,9,2716,forward
5,86,11,3390,forward
5,87,12,3765,forward
