ID ustanove,Okrug,Opština,Naziv ustanove,Područje rada,Obrazovni profil,Trajanje obrazovanja,Jezik nastave,Ukupno odeljenja,Ukupno učenika,Prosečan broj učenika u odeljenju,Ukupno devojcica,Ukupno decaka,Procenat devojcica,Procenat decaka
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Poljoprivredni tehničar,4,Mađarski jezik,4,74,18.5,25,49,33.78,66.22
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Veterinarski tehničar,4,Mađarski jezik,4,83,20.75,43,40,51.81,48.19
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Prehrambeni tehničar,4,Mađarski jezik,4,59,14.75,46,13,77.97,22.03
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Rukovalac - mehaničar poljoprivredne tehnike,3,Mađarski jezik,3,43,14.333333333333334,0,43,0.0,100.0
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Mesar,3,Mađarski jezik,1,13,13.0,1,12,7.69,92.31
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Pekar,3,Mađarski jezik,2,22,11.0,9,13,40.91,59.09
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Poljoprivredni tehničar,4,Srpski jezik,4,79,19.75,26,53,32.91,67.09
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Veterinarski tehničar,4,Srpski jezik,4,98,24.5,54,44,55.1,44.9
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Cvećar - vrtlar,3,Srpski jezik,1,7,7.0,7,0,100.0,0.0
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Rukovalac - mehaničar poljoprivredne tehnike,3,Srpski jezik,2,25,12.5,0,25,0.0,100.0
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Proizvođač prehrambenih proizvoda,3,Srpski jezik,1,10,10.0,5,5,50.0,50.0
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,"Poljoprivreda, proizvodnja i prerada hrane",Operater u prehrambenoj industriji,3,Srpski jezik,1,11,11.0,6,5,54.55,45.45
1323,Severnobački upravni okrug,Bačka Topola,Srednja tehnička škola Šinković Jožef,Elektrotehnika,Elektrotehničar računara,4,Mađarski jezik,4,97,24.25,12,85,12.37,87.63
1323,Severnobački upravni okrug,Bačka Topola,Srednja tehnička škola Šinković Jožef,Geodezija i građevinarstvo,Keramičar - teracer - pećar,3,Mađarski jezik,2,22,11.0,2,20,9.09,90.91
1323,Severnobački upravni okrug,Bačka Topola,Srednja tehnička škola Šinković Jožef,Geodezija i građevinarstvo,Dekorater zidnih površina,3,Mađarski jezik,1,4,4.0,2,2,50.0,50.0
1323,Severnobački upravni okrug,Bačka Topola,Srednja tehnička škola Šinković Jožef,Ostala delatnost ličnih usluga,Ženski frizer,3,Mađarski jezik,1,13,13.0,13,0,100.0,0.0
1323,Severnobački upravni okrug,Bačka Topola,Srednja tehnička škola Šinković Jožef,Ostala delatnost ličnih usluga,Pedikir i manikir,3,Mađarski jezik,1,8,8.0,5,3,62.5,37.5
1323,Severnobački upravni okrug,Bačka Topola,Srednja tehnička škola Šinković Jožef,Mašinstvo i obrada metala,Mašinski tehničar motornih vozila,4,Mađarski jezik,4,73,18.25,2,71,2.74,97.26
