ID ustanove,Okrug,Opština,Naziv ustanove,Broj odeljenja,Broj kombinovanih odeljenja,Broj specijalnih odeljenja,Broj učenika,Broj devojčica,Broj nastavnika - bez zamena,Ukupna norma nastavnikaa - bez zamena,Broj zaposlenih - bez zamena,Ukupna norma zaposlenih- bez zamena
1322,Severnobački upravni okrug,Bačka Topola,Poljoprivredna škola,26,5,0,524,222,74,65.9749,109,103.4649
1323,Severnobački upravni okrug,Bačka Topola,Srednja tehnička škola Šinković Jožef,15,3,0,318,61,46,32.813,60,46.033
1324,Severnobački upravni okrug,Subotica - grad,Gimnazija Svetozar Marković,36,0,0,855,535,76,66.1,96,87.3
1325,Severnobački upravni okrug,Subotica - grad,Ekonomska srednja škola Bosa Milićević,28,6,0,762,483,72,59.86,87,75.55
1326,Severnobački upravni okrug,Subotica - grad,Srednja medicinska škola,24,0,0,684,566,125,61.5051,140,78.0051
1327,Severnobački upravni okrug,Subotica - grad,Politehnička škola,36,7,0,747,336,96,78.85,116,102.35
1328,Severnobački upravni okrug,Subotica - grad,Hemijsko-tehnološka škola,34,2,0,590,393,94,78.3542,115,103.3042
1329,Severnobački upravni okrug,Subotica - grad,Tehnička škola Ivan Sarić,52,0,0,1308,212,124,118.2015,162,158.8541
1331,Zapadnobački upravni okrug,Apatin,Gimnazija Nikola Tesla,8,0,0,210,132,23,14.6705,30,22.7705
1332,Severnobanatski upravni okrug,Ada,Tehnička škola,21,3,0,378,38,48,43.098,65,60.598
1333,Severnobanatski upravni okrug,Kikinda,Gimnazija Dušan Vasiljev,17,0,0,427,268,50,30.1878,63,43.1878
1334,Severnobanatski upravni okrug,Kikinda,Ekonomsko-trgovinska škola,15,2,0,410,287,48,35.5081,62,49.9851
1335,Severnobanatski upravni okrug,Kikinda,Srednja stručna škola Miloš Crnjanski,16,3,0,357,262,71,39.9051,84,53.6651
1336,Severnobanatski upravni okrug,Kikinda,Tehnička škola,26,3,0,675,103,74,61.6633,96,85.6633
1337,Severnobanatski upravni okrug,Kanjiža,Poljoprivredno-tehnički srednjoškolski centar Besedeš Jožef,19,0,0,313,83,45,40.2599,61,57.6121
1338,Severnobanatski upravni okrug,Novi Kneževac,Gimnazija,4,0,0,71,43,18,7.016,23,13.236
1339,Severnobanatski upravni okrug,Novi Kneževac,Srednja škola Dositej Obradović,13,6,0,292,117,49,30.5012,60,43.0767
1340,Severnobanatski upravni okrug,Senta,Senćanska gimnazija,16,0,0,296,196,44,29.0382,57,42.5382
1341,Severnobanatski upravni okrug,Senta,Ekonomsko-trgovinska škola Senta,12,0,0,261,197,41,27.8614,53,39.3614
1342,Severnobanatski upravni okrug,Čoka,Hemijsko-prehrambena srednja škola,12,4,0,120,73,30,23.6989,40,35.6989
1343,Srednjobanatski upravni okrug,Zrenjanin - grad,Zrenjaninska gimnazija,40,0,0,1092,672,101,76.8168,123,101.3168
1344,Srednjobanatski upravni okrug,Zrenjanin - grad,Ekonomsko-trgovinska škola Jovan Trajković,30,0,0,814,516,88,63.5388,103,78.6588
1345,Srednjobanatski upravni okrug,Zrenjanin - grad,Medicinska škola,22,1,0,650,523,107,61.0393,128,84.0593
1346,Srednjobanatski upravni okrug,Zrenjanin - grad,Poljoprivredna škola,16,0,0,434,181,56,40.2773,79,64.5773
1347,Srednjobanatski upravni okrug,Zrenjanin - grad,Hemijsko-prehrambena i tekstilna škola Uroš Predić,23,3,0,412,274,68,51.9332,88,72.8332
