"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"1.","1322","Сомбор","Севернобачки управни округ","Бачка Топола","Бачка Топола","Пољопривредна школа","Маршала Тита 167","24300","psdirektor@gmail.com","(024)711234","http://poljoskola.edu.rs","8207887","101447175","1968-11-28","Средње стручне школе","Државно","26","5","0","524","222","3","6","0","74","65.974900","109","103.464900"
"2.","1323","Сомбор","Севернобачки управни округ","Бачка Топола","Бачка Топола","Средња техничка школа Шинковић Јожеф","Tрг Зорана Ђинђића 10","24300","sinjo@stcable.net","(024)714434","http://www.sinjo.edu.rs","8207909","101449228","1888-09-01","Средње стручне школе","Државно","15","3","0","318","61","0","4","0","46","32.813000","60","46.033000"
"3.","1324","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Гимназија Светозар Марковић","Петефи Шандора 1","24100","sekretarijat@gimnazijasubotica.edu.rs","552820","http://www.gimnazijasubotica.edu.rs","8065535","100958994","1856-07-27","Гимназије","Државно","36","0","0","855","535","1","1","0","76","66.100000","96","87.300000"
"4.","1325","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Економска средња школа Боса Милићевић","Ђуре Ђаковића 21","24000","ess@eunet.rs","(024)559255","http://ekonomskasu.edu.rs","8009155","100838402","2002-02-15","Средње стручне школе","Државно","28","6","0","762","483","0","14","0","72","59.860000","87","75.550000"
"5.","1326","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Средња медицинска школа","Београдски пут 126","24100","medsu@medicinskasu.edu.rs","(024)558336","http://www.medicinskasu.edu.rs","8027323","100446974","1958-07-15","Средње стручне школе","Државно","24","0","0","684","566","0","0","0","125","61.505100","140","78.005100"
"6.","1327","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Политехничка школа","Максима Горког 38","24000","office@politehnickasu.edu.rs","(024)663100","http://www.politehnickasu.edu.rs","8122245","100959340","2002-06-12","Средње стручне школе","Државно","36","7","0","747","336","3","6","0","96","78.850000","116","102.350000"
"7.","1328","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Хемијско-технолошка школа","Максима Горког 53","24000","hemijska@tippnet.rs","(024)644103","http://www.hts.edu.rs","8122237","100960681","2002-02-15","Средње стручне школе","Државно","34","2","0","590","393","1","9","0","94","78.354200","115","103.304200"
"8.","1329","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Техничка школа Иван Сарић","Трг Лазара Нешића 9","24000","messc@tehnickaskolasubotica.edu.rs","(024)552031","http://www.tsis.edu.rs","08009180","100959964","1961-09-28","Средње стручне школе","Државно","52","0","0","1308","212","2","1","0","124","118.201500","162","158.854100"
"9.","1331","Сомбор","Западнобачки управни округ","Апатин","Апатин","Гимназија Никола Тесла","Блок 112 бб","25260","pedagog@gimnazijaapatin.edu.rs","(025)773211","http://www.gimnazijaapatin.edu.rs","8198250","100963049","2002-02-15","Гимназије","Државно","8","0","0","210","132","0","0","0","23","14.670500","30","22.770500"
"10.","1332","Зрењанин","Севернобанатски управни округ","Ада","Ада","Техничка школа","Моше Пијаде 47","24430","iskolada@mts.rs","(024)853034","http://tsada.edu.rs","8018499","100983199","1962-05-05","Средње стручне школе","Државно","21","3","0","378","38","0","0","0","48","43.098000","65","60.598000"
"11.","1333","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Гимназија Душан Васиљев","Доктора Зорана Ђинђића 7","23300","gimnazijaki@mts.rs","(0230)422557","http://gimnazijaki.com","8174776","100510025","1989-05-01","Гимназије","Државно","17","0","0","427","268","0","1","0","50","30.187800","63","43.187800"
"12.","1334","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Економско-трговинска школа","Доктора Зорана Ђинђића 7","23300","etski@mts.rs","(023)0422023","http://ekonomskaki.edu.rs","8037345","100507998","1958-06-10","Средње стручне школе","Државно","15","2","0","410","287","2","6","0","48","35.508100","62","49.985100"
