"#","ИД установе","Универзитет","Назив установе","Тип установе","ИД програма","Назив програма","Звање","Поље","Ниво","Школарина за домаће студенте","Школарина за стране студенте","Број ЕСПБ бодова","Број решења акредитације","Датум решења акредитације","Акредитациона квота","Број буџетских студената - прва година","Број буџетских студената - друга година","Број буџетских студената - трећа година","Број буџетских студената - четврта година","Број буџетских студената - пета година","Број буџетских студената - шеста година","Број самофинансирајући студената - прва година","Број самофинансирајући студената - друга година","Број самофинансирајући студената - трећа година","Број самофинансирајући студената - четврта година","Број самофинансирајући студената - пета година","Број самофинансирајући студената - шеста година","Број страних студената - прва година","Број страних студената - друга година","Број страних студената - трећа година","Број страних студената - четврта година","Број страних студената - пета година","Број страних студената - шеста година","Број свршених студената током претходне школске године","Број пријављених кандидата на упису у наредну школску годину - I рок","Број пријављених кандидата на упису у наредну школску годину - II рок"
"1.","82","Универзитет у Приштини","Правни факултет, Косовска Митровица","Државни факултет","16","ОАС","Дипломирани правник","Друштвено-хуманистичке науке","Основне академске","60000","1000","240","612-02-02690/2013-04","11.07.2014.","200","75","90","103","114","","","54","92","108","318","","","0","0","0","0","","","42","104","0"
"2.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","616","Инжењерски менаџмент (SSS)","Специјалиста струковни инжењер менаџмента","Техничко-технолошке науке","Спец. струковне","125000","2000","60","612-00-01307/2012-04","2013-02-01","64","0","","","","","","40","","","","","","0","","","","","","22","29","0"
"3.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","613","Софтверске и информационе технологије (OSS)","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","90000","2000","180","612-00-00302/2015-04","06.03.2015.","60","21","31","59","","","","57","32","40","","","","0","0","0","","","","3","76","0"
"4.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","614","Софтверске и информационе технологије - Инђија (OSS)","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","90000","2000","180","612-00-1246/2011-04","23.12.2011.","40","0","0","0","","","","0","1","19","","","","0","0","0","","","","4","0","0"
"5.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","615","Енергетика, електроника и телекомуникације (SSS)","Специјалиста струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Спец. струковне","125000","2000","60","612-00-01307/2012-04","2013-05-24","64","0","","","","","","43","","","","","","0","","","","","","22","21","0"
"6.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","611","Електроенергетика – обновљиви извори електричне енергије (OSS)","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","90000","2000","180","612-00-01307/2012-04","14.06.2013.","60","11","4","19","","","","5","16","24","","","","0","0","0","","","","14","6","0"
"7.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","612","Електроника и телекомуникације (OSS)","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","90000","2000","180","612-00-01307/2012-04","19.04.2013.","40","12","16","19","","","","10","11","16","","","","0","0","0","","","","0","16","0"
"8.","47","Универзитет у Нишу","Електронски факултет","Државни факултет","10","Електроенергетика","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","89000","2000","60","612-00-00673/2013-04","2013-05-17","64","28","","","","","","35","","","","","","","","","","","","16","21","8"
"9.","47","Универзитет у Нишу","Електронски факултет","Државни факултет","11","Електротехника и рачунарство","Доктор наука електротехника и рачунарство","Техничко-технолошке науке","Докторске академске","89000","3000","180","612-00-00673/2013-04","2013-05-17","100","24","16","28","","","","7","2","38","","","","","","","","","","11","41","8"
"10.","47","Универзитет у Нишу","Електронски факултет","Државни факултет","12","Електроника и микросистеми","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","89000","2000","60","612-00-00673/2013-04","2013-05-17","64","27","","","","","","18","","","","","","","","","","","","16","21","6"
