,Ime,Broj pojavljivanja
0,Europe,18
1,Alexey,632
2,Linon,11
3,Snetkov,15
4,Stremov,22
5,Nikolay,96
6,Oblonskys,12
7,Petersburg,127
8,Landau,23
9,John,6
10,Sviazhsky,137
11,Yashvin,69
12,Pokrovskoe,11
13,Kirillovitch,6
14,Pava,9
15,Bryansky,9
16,Karenina,38
17,Italian,15
18,Lvov,21
19,Ryabinin,21
20,Lukitch,15
21,Turks,8
22,Pestsov,36
23,Kostya,35
24,Vronsky,862
25,European,10
26,Krak,12
27,Volgarinov,6
28,Liza,22
29,Bartnyansky,8
30,Tver,6
31,Lvova,8
32,Petrovna,25
33,Natalia,11
34,English,65
35,Vronskaya,6
36,Russians,13
37,Moscow,173
38,Turovtsin,21
39,Sappho,13
40,Englishman,19
41,Levins,13
42,Arkadyevna,57
43,Peterhof,7
44,Sludin,7
45,Mihail,21
46,Katerina,12
47,Ergushovo,9
48,Stahl,48
49,Kouzma,22
50,Konstantin,112
51,Petrov,8
52,Katya,9
53,Tchetchensky,6
54,Mahotin,19
55,Annie,6
56,Dmitrievitch,49
57,Kuzovlev,7
58,Korney,14
59,Veslovsky,110
60,Laska,47
61,Christianity,6
62,Arkadyevitch,548
63,Ivanovitch,302
64,Shtcherbatskaya,15
65,Nevyedovsky,17
66,Levin,1616
67,Mitya,11
68,Yevgenyevna,6
69,Darya,209
70,Pyotr,26
71,Golenishtchev,67
72,Koznishev,23
73,Kitty,673
74,Sergey,301
75,Nevsky,7
76,Shtcherbatsky,30
77,Vrede,7
78,Annushka,26
79,Varya,14
80,Vassenka,65
81,Philip,11
82,Mishka,6
83,Vorkuev,11
84,Frenchwoman,10
85,Katavasov,79
86,Arseny,6
87,Petritsky,35
88,Matrona,7
89,Metrov,25
90,Paris,8
91,Sorokina,11
92,Serpuhovskoy,37
93,Alexander,20
94,French,81
95,Borissovna,7
96,Dolly,307
97,Oblonsky,115
98,Merkalova,12
99,Christian,25
100,German,32
101,Lily,6
102,Karenin,51
103,Stepan,548
104,Kritsky,10
105,Lidia,112
106,Vozdvizhenskoe,8
107,Marya,65
108,Ivanovna,109
109,Russia,57
110,Vaska,8
111,Russian,90
112,Petrovitch,8
113,Slavonic,15
114,Ivan,24
115,Gladiator,21
116,Korsunsky,16
117,Matvey,29
118,Nikolaevna,33
119,Grisha,37
120,Grinevitch,9
121,Tit,22
122,Tsar,15
123,Gagin,6
124,Masha,21
125,England,8
126,Nordston,23
127,Fyodor,19
128,Tanya,27
129,Vassilievitch,9
130,Stiva,67
131,Frenchman,11
132,Marie,7
133,Shtcherbatskys,41
134,Tatar,14
135,Mihalovna,74
136,Frou,44
137,Betsy,111
138,Varvara,31
139,Gospel,6
140,Pavlovna,17
141,Vassily,36
142,Seryozha,122
143,Kapitonitch,11
144,Ryezunov,6
145,Karenins,13
146,Tchirikov,8
147,Alexandrovna,215
148,Christ,23
149,Bezzubov,6
150,Philimonovna,14
151,Yegor,11
152,Flerov,7
153,Varenka,155
154,Anna,822
155,Tushkevitch,24
156,Pilate,13
157,Enoch,6
158,Lizaveta,24
159,Tverskaya,24
160,Myakaya,23
161,Mihailov,44
162,Agafea,74
163,Alexandrovitch,571
