Rec,Duzina_reci
We,2
believe,7
that,4
understanding,13
algorithms,10
alongside,9
the,3
ability,7
of,2
algorithmic,11
expression,10
is,2
a,1
fundamental,11
skill,5
that,4
everybody,9
needs,5
to,2
have,4
It,2
is,2
also,4
important,9
that,4
those,5
who,3
are,3
talented,8
for,3
programming,11
recognize,9
and,3
nurture,7
their,5
talent,6
The,3
same,4
way,3
practicing,10
reading,7
and,3
writing,7
is,2
necessary,9
for,3
developing,10
traditional,11
literacy,8
some,4
form,4
of,2
programing,10
practice,8
is,2
necessary,9
for,3
developing,10
algorithmic,11
literacy,8
Programming,11
itself,6
doesn,5
t,1
have,4
to,2
be,2
a,1
complicated,11
activity,8
that,4
is,2
exclusive,9
to,2
experts,7
and,3
boring,6
and,3
tiring,6
for,3
everybody,9
else,4
Our,3
goal,4
is,2
to,2
make,4
programming,11
accessible,10
to,2
everyone,8
–,1
children,8
and,3
their,5
parents,7
students,8
and,3
their,5
teachers,8
inquisitive,11
technology,10
enthusiasts,11
and,3
everybody,9
else,4
with,4
a,1
goal,4
to,2
acquire,7
a,1
new,3
skill,5
crucial,7
for,3
their,5
personal,8
and,3
professional,12
development,11
By,2
raising,7
the,3
public,6
s,1
awareness,9
about,5
the,3
importance,10
of,2
algorithmic,11
literacy,8
we,2
want,4
to,2
encourage,9
different,9
social,6
entities,8
to,2
actively,8
participate,11
in,2
the,3
developing,10
and,3
promotion,9
of,2
general,7
algorithmic,11
literacy,8
and,3
in,2
particular,10
programming,11
This,4
means,5
that,4
we,2
want,4
to,2
help,4
educational,11
institutions,12
in,2
Serbia,6
improve,7
their,5
contribution,12
to,2
the,3
development,11
of,2
algorithmic,11
literacy,8
and,3
that,4
we,2
want,4
to,2
unite,5
all,3
the,3
individuals,11
and,3
companies,9
that,4
share,5
our,3
vision,6
and,3
want,4
to,2
help,4
us,2
increase,8
algorithmic,11
literacy,8
through,7
their,5
resources,9
and,3
engagement,10
Also,4
our,3
mission,7
is,2
to,2
raise,5
public,6
s,1
awareness,9
about,5
the,3
importance,10
of,2
algorithmic,11
literacy,8
and,3
support,7
anyone,6
with,4
a,1
desire,6
to,2
learn,5
programming,11
The,3
inclusion,9
of,2
programming,11
into,4
Serbian,7
public,6
education,9
system,6
has,3
been,4
a,1
burning,7
issue,5
and,3
a,1
subject,7
to,2
public,6
debate,6
for,3
a,1
number,6
or,2
years,5
People,6
who,3
make,4
the,3
Petlja,6
Foundation,10
today,5
met,3
each,4
other,5
while,5
attending,9
various,7
conferences,11
and,3
while,5
working,7
on,2
different,9
mutual,6
projects,8
where,5
we,2
supported,9
each,4
other,5
because,7
we,2
shared,6
the,3
same,4
values,6
and,3
the,3
same,4
vision,6
of,2
a,1
modern,6
computer,8
science,7
education,9
for,3
Serbian,7
students,8
With,4
that,4
said,4
we,2
feel,4
that,4
our,3
work,4
in,2
computer,8
science,7
education,9
and,3
popularization,14
of,2
algorithmic,11
way,3
of,2
thinking,8
predates,8
the,3
formal,6
establishment,13
of,2
the,3
Petlja,6
foundation,10
Upon,4
its,3
creation,8
different,9
successful,10
and,3
well,4
know,4
projects,8
and,3
initiatives,11
were,4
united,6
under,5
the,3
same,4
umbrella,8
of,2
the,3
Petlja,6
Foundation,10
Among,5
them,4
the,3
most,4
prominent,9
are,3
BubbleBee,9
a,1
portal,6
for,3
learning,8
and,3
practicing,10
programming,11
and,3
Takprog,7
an,2
official,8
website,7
of,2
the,3
Computer,8
Science,7
Competition,11
for,3
High,4
School,6
Students,8
BubbleBee,9
was,3
developed,9
by,2
the,3
employees,9
and,3
interns,7
at,2
the,3
Microsoft,9
Development,11
Center,6
in,2
Serbia,6
Associates,10
from,4
the,3
Mathematical,12
Grammar,7
School,6
in,2
Belgrade,8
the,3
IT,2
Grammar,7
School,6
in,2
Belgrade,8
Mathematical,12
Society,7
of,2
Serbia,6
Petnica,7
Science,7
Center,6
and,3
other,5
schools,7
participated,12
in,2
creating,8
and,3
shaping,7
the,3
content,7
that,4
BubbleBee,9
contains,8
today,5
From,4
the,3
early,5
days,4
of,2
the,3
BubbleBee,9
portal,6
all,3
of,2
the,3
educational,11
material,8
that,4
can,3
be,2
found,5
there,5
is,2
intended,8
to,2
be,2
free,4
and,3
to,2
be,2
used,4
by,2
a,1
wide,4
spectrum,8
of,2
people,6
because,7
BubbleBee,9
approaches,10
programming,11
in,2
a,1
simple,6
and,3
an,2
interactive,11
way,3
Takprog,7
was,3
developed,9
by,2
the,3
members,7
of,2
the,3
Commission,10
for,3
the,3
Computer,8
Science,7
Competition,11
for,3
High,4
School,6
Students,8
founded,7
by,2
the,3
Mathematical,12
Society,7
of,2
Serbia,6
and,3
it,2
stands,6
as,2
an,2
infrastructural,15
foundation,10
for,3
the,3
Computer,8
Science,7
Competition,11
for,3
High,4
School,6
Students,8
Now,3
it,2
is,2
serves,6
as,2
a,1
mutual,6
infrastructural,15
background,10
for,3
both,4
elementary,10
school,6
and,3
high,4
school,6
competitions,12
as,2
well,4
as,2
for,3
the,3
BubbleCup,9
competition,11
We,2
can,3
proudly,7
say,3
that,4
with,4
the,3
creation,8
of,2
the,3
Petlja,6
foundation,10
a,1
few,3
isolated,8
initiatives,11
were,4
joined,6
into,4
a,1
larger,6
stronger,8
project,7
with,4
the,3
same,4
goal,4
and,3
a,1
unified,7
vision,6
of,2
the,3
essential,9
role,4
that,4
programing,10
and,3
algorithmic,11
literacy,8
have,4
in,2
today,5
s,1
society,7
