,Country,Continent,Population,Area,Density
0,Afghanistan,Asia,31056997,647500,47.96447413127413
1,Albania,Europe,3581655,28748,124.5879713371365
2,Algeria,Africa,32930091,2381740,13.826064557844266
3,American Samoa,Oceania,57794,199,290.4221105527638
4,Andorra,Europe,71201,468,152.13888888888889
5,Angola,Africa,12127071,1246700,9.727336969599744
6,Anguilla,South America,13477,102,132.12745098039215
7,Antigua & Barbuda,South America,69108,443,156.0
8,Argentina,South America,39921833,2766890,14.428413489513497
9,Armenia,Asia,2976372,29800,99.87825503355705
10,Aruba,South America,71891,193,372.4922279792746
11,Australia,Oceania,20264082,7686850,2.6362010446411728
12,Austria,Europe,8192880,83870,97.68546560152618
13,Azerbaijan,Asia,7961619,86600,91.93555427251732
14,"Bahamas, The",South America,303770,13940,21.791248206599715
15,Bahrain,Asia,698585,665,1050.5037593984962
16,Bangladesh,Asia,147365352,144000,1023.3705
17,Barbados,South America,279912,431,649.4477958236658
18,Belarus,Europe,10293011,207600,49.580977842003854
19,Belgium,Europe,10379067,30528,339.98516116352204
20,Belize,South America,287730,22966,12.528520421492642
21,Benin,Africa,7862944,112620,69.81836263541112
22,Bermuda,North America,65773,53,1241.0
23,Bhutan,Asia,2279723,47000,48.50474468085106
24,Bolivia,South America,8989046,1098580,8.182422763931621
25,Bosnia & Herzegovina,Europe,4498976,51129,87.99264605214262
26,Botswana,Africa,1639833,600370,2.7313706547628964
27,Brazil,South America,188078227,8511965,22.095747221704976
28,British Virgin Is.,South America,23098,153,150.96732026143792
29,Brunei,Asia,379444,5770,65.76152512998267
30,Bulgaria,Europe,7385367,110910,66.58882878009197
31,Burkina Faso,Africa,13902972,274200,50.703763676148796
32,Burma,Asia,47382633,678500,69.8343890935888
33,Burundi,Africa,8090068,27830,290.69593963348905
34,Cambodia,Asia,13881427,181040,76.67602187361909
35,Cameroon,Africa,17340702,475440,36.472955577990916
36,Canada,North America,33098932,9984670,3.314975056762016
37,Cape Verde,Africa,420979,4033,104.38358542028267
38,Cayman Islands,South America,45436,262,173.4198473282443
39,Central African Rep.,Africa,4303356,622984,6.907650918803693
40,Chad,Africa,9944201,1284000,7.744704828660436
41,Chile,South America,16134219,756950,21.314775084219566
42,China,Asia,1313973713,9596960,136.91561838332137
43,Colombia,South America,43593035,1138910,38.27610171128535
44,Comoros,Africa,690948,2170,318.4092165898617
45,"Congo, Dem. Rep.",Africa,62660551,2345410,26.716246200024727
46,"Congo, Repub. of the",Africa,3702314,342000,10.825479532163742
47,Cook Islands,Oceania,21388,240,89.11666666666666
48,Costa Rica,South America,4075261,51100,79.75070450097847
49,Cote d'Ivoire,Africa,17654843,322460,54.750489983253736
50,Croatia,Europe,4494749,56542,79.49398677089597
51,Cuba,South America,11382820,110860,102.67743099404655
52,Cyprus,Asia,784301,9250,84.7892972972973
53,Czech Republic,Europe,10235455,78866,129.78285953389295
54,Denmark,Europe,5450661,43094,126.48306028681488
55,Djibouti,Africa,486530,23000,21.153478260869566
56,Dominica,South America,68910,754,91.39257294429709
57,Dominican Republic,South America,9183984,48730,188.46673507079828
58,East Timor,Asia,1062777,15007,70.81875124941693
59,Ecuador,South America,13547510,283560,47.776519960502185
60,Egypt,Africa,78887007,1001450,78.77278645963354
61,El Salvador,South America,6822378,21040,324.2575095057034
62,Equatorial Guinea,Africa,540109,28051,19.2545363801647
63,Eritrea,Africa,4786994,121320,39.457583250906694
64,Estonia,Europe,1324333,45226,29.282558705169592
65,Ethiopia,Africa,74777981,1127127,66.34388227768477
66,Faroe Islands,Europe,47246,1399,33.771265189421015
67,Fiji,Oceania,905949,18270,49.58669950738916
